id;Стоим;Адрес
"1";"5";пр. Ленина
"2";"3";пр. Ленина
"3";"5";ул. Курчатова
"4";"4";ул. Курчатова
"5";"5";ул. Блюхера
"6";"3";ул. Курчатова
"7";"4";пр. Ленина
"8";"4";пр. Ленина
"9";"4";пр. Ленина
"10";"1";Лесопарковая ул.
"11";"1";пр. Ленина
"12";"3";ул. Сони Кривой
"13";"3";пр. Ленина
"14";"3";пр. Ленина
"15";"5";ул. Воровского
"16";"5";ул. Воровского
"17";"4";ул. Курчатова
"18";"4";ул. Курчатова
"19";"3";а/д Урал
"20";"3";ул. Энгельса
